,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Cushion,$363,0.30,Very Good,I,VS1,Feb 22
1,Cushion,$386,0.30,Very Good,J,VVS1,Feb 17
2,Cushion,$400,0.33,Very Good,J,VS1,Feb 17
3,Cushion,$403,0.40,Very Good,J,SI1,Feb 16
4,Cushion,$404,0.30,Very Good,I,VS1,Feb 17
5,Cushion,$406,0.32,Very Good,J,VVS1,Feb 17
6,Cushion,$409,0.35,Very Good,J,VS1,Feb 17
7,Cushion,$416,0.33,Very Good,J,VVS1,Feb 17
8,Cushion,$416,0.33,Very Good,J,VVS1,Feb 17
9,Cushion,$418,0.31,Very Good,D,SI2,Feb 17
10,Cushion,$420,0.30,Very Good,D,SI1,Feb 13
11,Cushion,$424,0.30,Very Good,D,SI2,Feb 17
12,Cushion,$424,0.30,Very Good,D,SI2,Feb 17
13,Cushion,$426,0.33,Very Good,H,VVS2,Feb 17
14,Cushion,$430,0.31,Very Good,H,VS2,Feb 17
15,Cushion,$431,0.40,Very Good,J,VS1,Feb 17
16,Cushion,$432,0.30,Very Good,F,VS2,Feb 17
17,Cushion,$432,0.32,Very Good,F,SI2,Feb 17
18,Cushion,$434,0.33,Very Good,J,VVS2,Feb 17
19,Cushion,$436,0.31,Very Good,I,VVS1,Feb 17
20,Cushion,$437,0.32,Very Good,G,SI1,Feb 17
21,Cushion,$439,0.30,Very Good,I,VVS2,Feb 17
22,Cushion,$442,0.30,Very Good,H,VS1,Feb 17
23,Cushion,$443,0.34,Very Good,H,VVS2,Feb 17
24,Cushion,$444,0.31,Very Good,F,VS1,Feb 17
25,Cushion,$446,0.33,Very Good,J,VVS1,Feb 20
26,Cushion,$448,0.30,Very Good,D,SI1,Feb 17
27,Cushion,$449,0.35,Very Good,I,VVS2,Feb 17
28,Cushion,$451,0.33,Very Good,H,VVS1,Feb 17
29,Cushion,$455,0.38,Very Good,I,SI1,Feb 17
30,Cushion,$456,0.23,Very Good,D,VS2,Feb 14
31,Cushion,$456,0.36,Very Good,J,VVS1,Feb 17
32,Cushion,$459,0.30,Very Good,D,SI1,Feb 17
33,Cushion,$462,0.32,Very Good,F,VS2,Feb 17
34,Cushion,$466,0.30,Very Good,D,SI1,Feb 17
35,Cushion,$466,0.33,Very Good,I,VVS2,Feb 17
36,Cushion,$468,0.32,Very Good,E,SI1,Feb 17
37,Cushion,$469,0.32,Very Good,D,SI2,Feb 17
38,Cushion,$469,0.30,Very Good,F,VVS2,Feb 17
39,Cushion,$472,0.40,Very Good,J,VS2,Feb 17
40,Cushion,$475,0.51,Very Good,J,SI1,Feb 17
41,Cushion,$475,0.50,Very Good,J,SI2,Feb 17
42,Cushion,$477,0.30,Very Good,H,VVS2,Feb 17
43,Cushion,$478,0.40,Very Good,I,VS2,Feb 17
44,Cushion,$478,0.40,Very Good,J,VS2,Feb 17
45,Cushion,$478,0.30,Very Good,H,VVS1,Feb 17
46,Cushion,$480,0.33,Very Good,I,VVS2,Feb 17
47,Cushion,$482,0.31,Very Good,I,VVS2,Feb 13
48,Cushion,$485,0.30,Very Good,E,VS1,Feb 17
49,Cushion,$486,0.31,Very Good,G,VS1,Feb 17
50,Cushion,$487,0.41,Very Good,J,SI1,Feb 17
51,Cushion,$489,0.41,Very Good,I,VS2,Feb 17
52,Cushion,$490,0.33,Very Good,E,SI1,Feb 17
53,Cushion,$492,0.40,Very Good,J,SI1,Feb 17
54,Cushion,$493,0.33,Very Good,I,VVS1,Feb 17
55,Cushion,$494,0.32,Very Good,E,VS2,Feb 17
56,Cushion,$495,0.32,Very Good,F,VVS2,Feb 17
57,Cushion,$496,0.30,Very Good,F,VS1,Feb 17
58,Cushion,$497,0.30,Very Good,G,VS1,Feb 17
59,Cushion,$501,0.41,Very Good,J,SI1,Feb 17
60,Cushion,$501,0.41,Very Good,J,SI1,Feb 17
61,Cushion,$501,0.30,Very Good,E,VVS2,Feb 17
62,Cushion,$501,0.41,Very Good,J,SI1,Feb 17
63,Cushion,$502,0.42,Very Good,J,SI1,Feb 17
64,Cushion,$502,0.30,Very Good,F,VS2,Feb 20
65,Cushion,$503,0.43,Very Good,J,VVS2,Feb 22
66,Cushion,$503,0.40,Very Good,J,VVS2,Feb 17
67,Cushion,$504,0.40,Very Good,J,VS2,Feb 17
68,Cushion,$505,0.34,Very Good,F,SI1,Feb 17
69,Cushion,$506,0.31,Very Good,E,VS1,Feb 17
70,Cushion,$506,0.41,Very Good,J,SI1,Feb 17
71,Cushion,$511,0.42,Very Good,J,VVS2,Feb 17
72,Cushion,$511,0.40,Very Good,J,VS2,Feb 17
73,Cushion,$512,0.33,Very Good,F,VS2,Feb 17
74,Cushion,$513,0.30,Very Good,D,VS2,Feb 17
75,Cushion,$514,0.50,Very Good,I,SI2,Feb 16
76,Cushion,$514,0.50,Very Good,I,SI2,Feb 16
77,Cushion,$514,0.50,Very Good,I,SI2,Feb 16
78,Cushion,$514,0.37,Very Good,F,SI1,Feb 17
79,Cushion,$514,0.37,Very Good,I,VS2,Feb 17
80,Cushion,$515,0.30,Very Good,G,VVS1,Feb 17
81,Cushion,$515,0.30,Very Good,E,VS1,Feb 17
82,Cushion,$515,0.30,Very Good,G,VVS1,Feb 17
83,Cushion,$515,0.40,Very Good,I,SI2,Feb 13
84,Cushion,$516,0.43,Very Good,J,VS2,Feb 13
85,Cushion,$516,0.32,Very Good,F,VS2,Feb 17
86,Cushion,$518,0.30,Very Good,E,VVS2,Feb 17
87,Cushion,$518,0.30,Very Good,E,VVS2,Feb 17
88,Cushion,$521,0.31,Very Good,E,VS1,Feb 17
89,Cushion,$521,0.30,Very Good,F,VS1,Feb 17
90,Cushion,$521,0.53,Very Good,I,SI2,Feb 17
91,Cushion,$522,0.32,Very Good,G,VVS1,Feb 17
92,Cushion,$522,0.50,Very Good,J,SI1,Feb 16
93,Cushion,$522,0.40,Very Good,I,VS2,Feb 17
94,Cushion,$523,0.39,Very Good,H,VS2,Feb 20
95,Cushion,$523,0.30,Very Good,G,VVS1,Feb 17
96,Cushion,$523,0.33,Very Good,H,VS1,Feb 17
97,Cushion,$524,0.36,Very Good,F,VS2,Feb 17
98,Cushion,$524,0.42,Very Good,I,VS2,Feb 17
99,Cushion,$524,0.33,Very Good,F,VS1,Feb 17
100,Cushion,$525,0.50,Very Good,I,SI2,Feb 16
101,Cushion,$525,0.41,Very Good,H,VS2,Feb 17
102,Cushion,$526,0.32,Very Good,D,VS2,Feb 17
103,Cushion,$527,0.32,Very Good,G,VVS1,Feb 17
104,Cushion,$527,0.30,Very Good,E,VS2,Feb 17
105,Cushion,$528,0.50,Very Good,G,SI2,Feb 16
106,Cushion,$528,0.33,Very Good,E,VS1,Feb 17
107,Cushion,$529,0.34,Very Good,G,VS1,Feb 17
108,Cushion,$529,0.34,Very Good,E,VS2,Feb 17
109,Cushion,$530,0.41,Very Good,I,VS2,Feb 17
110,Cushion,$530,0.50,Very Good,I,SI1,Feb 14
111,Cushion,$531,0.32,Very Good,F,VVS2,Feb 17
112,Cushion,$531,0.40,Very Good,H,SI1,Feb 17
113,Cushion,$531,0.32,Very Good,F,VS2,Feb 17
114,Cushion,$532,0.40,Very Good,H,VS2,Feb 17
115,Cushion,$533,0.33,Very Good,G,VVS1,Feb 17
116,Cushion,$533,0.34,Very Good,G,VVS2,Feb 16
117,Cushion,$533,0.31,Very Good,H,VS1,Feb 17
118,Cushion,$534,0.33,Very Good,E,VS2,Feb 17
119,Cushion,$535,0.32,Very Good,F,VVS2,Feb 17
120,Cushion,$535,0.40,Very Good,J,VS1,Feb 17
121,Cushion,$536,0.30,Very Good,D,VS1,Feb 17
122,Cushion,$536,0.30,Very Good,D,VS1,Feb 17
123,Cushion,$537,0.50,Very Good,H,SI2,Feb 16
124,Cushion,$537,0.30,Very Good,E,SI1,Feb 17
125,Cushion,$538,0.33,Very Good,F,VVS2,Feb 17
126,Cushion,$538,0.37,Very Good,H,VS2,Feb 17
127,Cushion,$538,0.38,Very Good,I,VS1,Feb 14
128,Cushion,$538,0.37,Very Good,H,VS2,Feb 17
129,Cushion,$538,0.37,Very Good,H,VS2,Feb 17
130,Cushion,$540,0.31,Very Good,D,VS1,Feb 17
131,Cushion,$540,0.50,Very Good,I,SI1,Feb 14
132,Cushion,$541,0.43,Very Good,J,VVS2,Feb 17
133,Cushion,$541,0.33,Very Good,D,VS2,Feb 17
134,Cushion,$542,0.31,Very Good,D,VS2,Feb 17
135,Cushion,$542,0.36,Very Good,H,VS1,Feb 17
136,Cushion,$542,0.31,Very Good,D,VS2,Feb 17
137,Cushion,$542,0.40,Very Good,H,VS2,Feb 17
138,Cushion,$542,0.31,Very Good,G,VVS2,Feb 17
139,Cushion,$543,0.42,Very Good,I,VS2,Feb 17
140,Cushion,$544,0.30,Very Good,D,VS2,Feb 17
141,Cushion,$544,0.51,Very Good,I,SI1,Feb 14
142,Cushion,$545,0.40,Very Good,J,VVS1,Feb 17
143,Cushion,$545,0.50,Very Good,J,SI1,Feb 16
144,Cushion,$545,0.40,Very Good,J,VVS1,Feb 17
145,Cushion,$545,0.38,Very Good,H,VS2,Feb 17
146,Cushion,$546,0.51,Very Good,I,SI2,Feb 16
147,Cushion,$546,0.36,Very Good,H,VVS1,Feb 17
148,Cushion,$547,0.44,Very Good,H,VS2,Feb 17
149,Cushion,$548,0.50,Very Good,H,SI2,Feb 16
150,Cushion,$548,0.30,Very Good,D,VS2,Feb 17
151,Cushion,$548,0.33,Very Good,F,VS2,Feb 17
152,Cushion,$549,0.50,Very Good,J,SI2,Feb 17
153,Cushion,$549,0.30,Very Good,E,VVS1,Feb 17
154,Cushion,$549,0.41,Very Good,J,VVS1,Feb 17
155,Cushion,$549,0.37,Very Good,I,VVS2,Feb 17
156,Cushion,$549,0.32,Very Good,D,SI1,Feb 14
157,Cushion,$550,0.36,Very Good,H,VVS1,Feb 17
158,Cushion,$550,0.41,Very Good,F,SI1,Feb 17
159,Cushion,$550,0.31,Very Good,F,VS1,Feb 17
160,Cushion,$551,0.38,Very Good,J,VVS1,Feb 17
161,Cushion,$552,0.40,Very Good,H,VS2,Feb 17
162,Cushion,$553,0.40,Very Good,J,VS1,Feb 20
163,Cushion,$553,0.41,Very Good,J,VS1,Feb 17
164,Cushion,$553,0.31,Very Good,G,VVS1,Feb 17
165,Cushion,$553,0.30,Very Good,D,VS1,Feb 17
166,Cushion,$553,0.30,Very Good,E,VVS1,Feb 17
167,Cushion,$553,0.32,Very Good,E,VVS2,Feb 16
168,Cushion,$554,0.34,Very Good,F,VS1,Feb 17
169,Cushion,$555,0.41,Very Good,J,VS1,Feb 17
170,Cushion,$555,0.40,Very Good,G,SI1,Feb 17
171,Cushion,$556,0.30,Very Good,D,VS2,Feb 17
172,Cushion,$556,0.40,Very Good,E,SI1,Feb 17
173,Cushion,$556,0.33,Very Good,E,VVS2,Feb 17
174,Cushion,$556,0.30,Very Good,D,VS2,Feb 17
175,Cushion,$556,0.35,Very Good,F,SI1,Feb 17
176,Cushion,$556,0.34,Very Good,F,VS2,Feb 17
177,Cushion,$557,0.32,Very Good,E,VS1,Feb 17
178,Cushion,$557,0.30,Very Good,D,VVS2,Feb 17
179,Cushion,$557,0.40,Very Good,I,VVS1,Feb 17
180,Cushion,$557,0.41,Very Good,J,VS1,Feb 17
181,Cushion,$557,0.42,Very Good,J,VVS2,Feb 17
182,Cushion,$558,0.34,Very Good,G,VS1,Feb 17
183,Cushion,$558,0.42,Very Good,H,VS2,Feb 17
184,Cushion,$558,0.40,Very Good,G,SI2,Feb 17
185,Cushion,$558,0.50,Very Good,G,SI2,Feb 16
186,Cushion,$558,0.32,Very Good,H,VVS1,Feb 17
187,Cushion,$559,0.32,Very Good,D,VS2,Feb 17
188,Cushion,$559,0.50,Very Good,J,VS2,Feb 16
189,Cushion,$559,0.50,Very Good,J,SI1,Feb 17
190,Cushion,$560,0.33,Very Good,E,VVS2,Feb 17
191,Cushion,$561,0.31,Very Good,F,VVS2,Feb 17
192,Cushion,$561,0.35,Very Good,G,VVS1,Feb 17
193,Cushion,$563,0.51,Very Good,I,SI1,Feb 22
194,Cushion,$564,0.51,Very Good,J,VS1,Feb 16
195,Cushion,$564,0.35,Very Good,H,VVS2,Feb 17
196,Cushion,$565,0.55,Very Good,I,SI1,Feb 14
197,Cushion,$566,0.53,Very Good,H,SI2,Feb 16
198,Cushion,$566,0.35,Very Good,E,VS2,Feb 17
199,Cushion,$566,0.50,Very Good,H,SI2,Feb 16
200,Cushion,$567,0.50,Very Good,J,VS2,Feb 17
201,Cushion,$568,0.44,Very Good,H,VS2,Feb 17
202,Cushion,$568,0.41,Very Good,G,SI2,Feb 17
203,Cushion,$568,0.40,Very Good,G,SI1,Feb 17
204,Cushion,$568,0.51,Very Good,J,SI2,Feb 17
205,Cushion,$569,0.50,Very Good,I,SI1,Feb 16
206,Cushion,$569,0.33,Very Good,G,VVS1,Feb 17
207,Cushion,$570,0.32,Very Good,G,VS1,Feb 17
208,Cushion,$570,0.50,Very Good,F,SI2,Feb 13
209,Cushion,$571,0.34,Very Good,G,VS1,Feb 17
210,Cushion,$571,0.32,Very Good,F,VVS1,Feb 17
211,Cushion,$571,0.33,Very Good,H,VVS1,Feb 17
212,Cushion,$572,0.50,Very Good,I,SI1,Feb 16
213,Cushion,$572,0.32,Very Good,D,VS2,Feb 17
214,Cushion,$572,0.35,Very Good,F,VS2,Feb 17
215,Cushion,$574,0.50,Very Good,G,SI2,Feb 22
216,Cushion,$576,0.32,Very Good,D,VS1,Feb 17
217,Cushion,$577,0.30,Very Good,D,VVS2,Feb 17
218,Cushion,$577,0.30,Very Good,D,VVS2,Feb 17
219,Cushion,$577,0.42,Very Good,J,VS1,Feb 17
220,Cushion,$577,0.50,Very Good,G,SI2,Feb 16
221,Cushion,$577,0.37,Very Good,I,VVS1,Feb 17
222,Cushion,$577,0.40,Very Good,F,SI1,Feb 17
223,Cushion,$577,0.30,Very Good,D,VVS2,Feb 17
224,Cushion,$578,0.43,Very Good,I,SI1,Feb 17
225,Cushion,$578,0.36,Very Good,H,VS1,Feb 17
226,Cushion,$579,0.50,Very Good,I,SI1,Feb 16
227,Cushion,$579,0.36,Very Good,D,VS1,Feb 17
228,Cushion,$579,0.51,Very Good,E,SI1,Feb 22
229,Cushion,$580,0.51,Very Good,J,VS1,Feb 17
230,Cushion,$580,0.32,Very Good,D,VS1,Feb 17
231,Cushion,$581,0.41,Very Good,F,SI1,Feb 17
232,Cushion,$581,0.30,Very Good,D,VVS2,Feb 17
233,Cushion,$581,0.30,Very Good,D,VVS2,Feb 17
234,Cushion,$581,0.37,Very Good,G,VS2,Feb 17
235,Cushion,$581,0.41,Very Good,H,VS2,Feb 17
236,Cushion,$582,0.54,Very Good,H,SI2,Feb 16
237,Cushion,$582,0.40,Very Good,F,SI1,Feb 17
238,Cushion,$585,0.42,Very Good,H,SI1,Feb 17
239,Cushion,$586,0.36,Very Good,E,SI1,Feb 17
240,Cushion,$588,0.35,Very Good,F,VS1,Feb 17
241,Cushion,$589,0.38,Very Good,G,VS2,Feb 17
242,Cushion,$590,0.32,Very Good,D,VS1,Feb 17
243,Cushion,$591,0.41,Very Good,F,SI1,Feb 17
244,Cushion,$592,0.40,Very Good,F,SI1,Feb 17
245,Cushion,$592,0.55,Very Good,H,SI2,Feb 16
246,Cushion,$592,0.50,Very Good,J,VS2,Feb 17
247,Cushion,$594,0.54,Very Good,I,SI1,Feb 17
248,Cushion,$594,0.43,Very Good,H,SI1,Feb 17
249,Cushion,$594,0.33,Very Good,F,VS1,Feb 17
250,Cushion,$595,0.42,Very Good,E,SI1,Feb 17
251,Cushion,$595,0.42,Very Good,H,VS2,Feb 17
252,Cushion,$597,0.35,Very Good,G,VS1,Feb 17
253,Cushion,$598,0.42,Very Good,I,VVS1,Feb 22
254,Cushion,$598,0.50,Very Good,J,VS1,Feb 16
255,Cushion,$598,0.33,Very Good,F,VVS1,Feb 17
256,Cushion,$599,0.51,Very Good,J,VVS2,Feb 17
257,Cushion,$600,0.35,Very Good,D,VS1,Feb 16
258,Cushion,$601,0.54,Very Good,I,SI2,Feb 16
259,Cushion,$601,0.50,Very Good,I,SI1,Feb 16
260,Cushion,$602,0.50,Very Good,J,VS2,Feb 10
261,Cushion,$603,0.31,Very Good,G,IF,Feb 17
262,Cushion,$603,0.33,Very Good,D,VS1,Feb 17
263,Cushion,$603,0.33,Very Good,D,VS1,Feb 17
264,Cushion,$603,0.31,Very Good,G,IF,Feb 17
265,Cushion,$603,0.33,Very Good,F,VS1,Feb 17
266,Cushion,$604,0.32,Very Good,F,VVS1,Feb 17
267,Cushion,$606,0.40,Very Good,F,SI1,Feb 17
268,Cushion,$606,0.41,Very Good,F,SI1,Feb 17
269,Cushion,$606,0.31,Very Good,D,VVS2,Feb 17
270,Cushion,$606,0.40,Very Good,E,SI1,Feb 17
271,Cushion,$607,0.33,Very Good,G,VVS1,Feb 17
272,Cushion,$608,0.47,Very Good,I,SI2,Feb 17
273,Cushion,$608,0.41,Very Good,I,SI1,Feb 17
274,Cushion,$608,0.32,Very Good,D,VS1,Feb 17
275,Cushion,$609,0.50,Very Good,J,SI1,Feb 17
276,Cushion,$609,0.50,Very Good,I,VS1,Feb 14
277,Cushion,$609,0.50,Very Good,I,VS2,Feb 14
278,Cushion,$609,0.50,Very Good,I,VS1,Feb 14
279,Cushion,$610,0.37,Very Good,H,VS1,Feb 17
280,Cushion,$610,0.42,Very Good,F,SI2,Feb 17
281,Cushion,$610,0.41,Very Good,E,SI1,Feb 17
282,Cushion,$612,0.50,Very Good,J,VS2,Feb 20
283,Cushion,$612,0.34,Very Good,F,VS1,Feb 17
284,Cushion,$614,0.50,Very Good,I,SI1,Feb 16
285,Cushion,$614,0.53,Very Good,I,SI2,Feb 16
286,Cushion,$614,0.50,Very Good,I,SI2,Feb 16
287,Cushion,$614,0.42,Very Good,I,SI1,Feb 17
288,Cushion,$614,0.35,Very Good,G,VS1,Feb 17
289,Cushion,$615,0.49,Very Good,J,SI1,Feb 17
290,Cushion,$615,0.41,Very Good,J,VS2,Feb 13
291,Cushion,$616,0.42,Very Good,I,VS1,Feb 17
292,Cushion,$617,0.42,Very Good,E,SI1,Feb 17
293,Cushion,$617,0.50,Very Good,I,SI1,Feb 17
294,Cushion,$618,0.53,Very Good,G,SI2,Feb 22
295,Cushion,$618,0.32,Very Good,H,IF,Feb 17
296,Cushion,$619,0.40,Very Good,E,SI2,Feb 17
297,Cushion,$620,0.32,Very Good,D,VVS2,Feb 17
298,Cushion,$620,0.33,Very Good,D,VS2,Feb 17
299,Cushion,$621,0.35,Very Good,D,VS2,Feb 17
300,Cushion,$622,0.40,Very Good,I,VVS2,Feb 20
301,Cushion,$623,0.52,Very Good,I,SI1,Feb 16
302,Cushion,$623,0.40,Very Good,E,SI1,Feb 17
303,Cushion,$623,0.50,Very Good,H,SI1,Feb 22
304,Cushion,$623,0.33,Very Good,D,VVS2,Feb 16
305,Cushion,$624,0.40,Very Good,E,SI1,Feb 17
306,Cushion,$624,0.46,Very Good,I,VS2,Feb 17
307,Cushion,$625,0.46,Very Good,J,VS1,Feb 17
308,Cushion,$625,0.44,Very Good,G,SI1,Feb 17
309,Cushion,$625,0.40,Very Good,G,VS2,Feb 17
310,Cushion,$626,0.50,Very Good,G,SI2,Feb 16
311,Cushion,$626,0.52,Very Good,I,VVS2,Feb 14
312,Cushion,$626,0.40,Very Good,F,SI2,Feb 17
313,Cushion,$627,0.30,Very Good,D,VVS1,Feb 17
314,Cushion,$627,0.36,Very Good,H,VVS1,Feb 17
315,Cushion,$628,0.40,Very Good,I,VVS2,Feb 17
316,Cushion,$629,0.39,Very Good,F,VS1,Feb 16
317,Cushion,$629,0.50,Very Good,H,SI2,Feb 16
318,Cushion,$630,0.50,Very Good,H,SI1,Feb 16
319,Cushion,$630,0.39,Very Good,G,VS1,Feb 17
320,Cushion,$630,0.50,Very Good,I,SI1,Feb 22
321,Cushion,$631,0.30,Very Good,D,VVS1,Feb 17
322,Cushion,$631,0.40,Very Good,F,VS2,Feb 17
323,Cushion,$632,0.54,Very Good,I,SI1,Feb 16
324,Cushion,$635,0.41,Very Good,I,VVS1,Feb 20
325,Cushion,$635,0.51,Very Good,I,SI1,Feb 16
326,Cushion,$637,0.51,Very Good,J,VS2,Feb 20
327,Cushion,$637,0.52,Very Good,I,SI1,Feb 16
328,Cushion,$637,0.53,Very Good,I,VS2,Feb 14
329,Cushion,$637,0.43,Very Good,F,SI2,Feb 17
330,Cushion,$638,0.43,Very Good,D,SI1,Feb 17
331,Cushion,$638,0.35,Very Good,F,VS1,Feb 17
332,Cushion,$638,0.42,Very Good,H,VVS2,Feb 17
333,Cushion,$639,0.41,Very Good,E,SI1,Feb 17
334,Cushion,$640,0.51,Very Good,J,VS1,Feb 16
335,Cushion,$640,0.34,Very Good,D,VVS2,Feb 16
336,Cushion,$640,0.43,Very Good,I,VS1,Feb 16
337,Cushion,$640,0.50,Very Good,I,VS1,Feb 14
338,Cushion,$640,0.42,Very Good,F,SI2,Feb 17
339,Cushion,$642,0.38,Very Good,G,VS1,Feb 17
340,Cushion,$642,0.53,Very Good,J,VVS2,Feb 17
341,Cushion,$642,0.40,Very Good,F,VS2,Feb 17
342,Cushion,$643,0.50,Very Good,I,VS2,Feb 14
343,Cushion,$644,0.40,Very Good,F,SI1,Feb 17
344,Cushion,$645,0.50,Very Good,J,VS1,Feb 20
345,Cushion,$645,0.40,Very Good,F,VS1,Feb 17
346,Cushion,$645,0.40,Very Good,F,VS1,Feb 17
347,Cushion,$646,0.41,Very Good,E,VS2,Feb 17
348,Cushion,$646,0.40,Very Good,F,SI1,Feb 17
349,Cushion,$646,0.39,Very Good,E,VS1,Feb 17
350,Cushion,$646,0.40,Very Good,H,VVS1,Feb 17
351,Cushion,$647,0.52,Very Good,I,SI1,Feb 16
352,Cushion,$647,0.31,Very Good,D,VVS1,Feb 17
353,Cushion,$647,0.41,Very Good,F,VS2,Feb 17
354,Cushion,$647,0.41,Very Good,H,VS1,Feb 17
355,Cushion,$647,0.36,Very Good,G,VVS2,Feb 17
356,Cushion,$647,0.50,Very Good,H,VVS2,Feb 14
357,Cushion,$648,0.53,Very Good,I,SI1,Feb 16
358,Cushion,$648,0.42,Very Good,E,SI1,Feb 17
359,Cushion,$648,0.37,Very Good,D,SI1,Feb 17
360,Cushion,$649,0.40,Very Good,G,VS2,Feb 20
361,Cushion,$649,0.60,Very Good,J,SI2,Feb 16
362,Cushion,$650,0.53,Very Good,J,VS2,Feb 17
363,Cushion,$650,0.46,Very Good,J,VVS1,Feb 21
364,Cushion,$650,0.40,Very Good,H,SI1,Feb 17
365,Cushion,$651,0.42,Very Good,E,SI1,Feb 17
366,Cushion,$652,0.41,Very Good,E,SI2,Feb 17
367,Cushion,$652,0.55,Very Good,I,VS2,Feb 14
368,Cushion,$652,0.39,Very Good,G,VS2,Feb 13
369,Cushion,$652,0.43,Very Good,I,VVS1,Feb 16
370,Cushion,$653,0.34,Very Good,D,VVS2,Feb 17
371,Cushion,$653,0.55,Very Good,J,SI2,Feb 17
372,Cushion,$653,0.51,Very Good,I,VS1,Feb 14
373,Cushion,$653,0.37,Very Good,E,VS2,Feb 17
374,Cushion,$654,0.42,Very Good,E,SI2,Feb 17
375,Cushion,$654,0.40,Very Good,G,VS1,Feb 17
376,Cushion,$654,0.50,Very Good,J,VS1,Feb 17
377,Cushion,$655,0.46,Very Good,J,VVS2,Feb 17
378,Cushion,$655,0.53,Very Good,I,SI1,Feb 16
379,Cushion,$655,0.50,Very Good,J,VVS2,Feb 16
380,Cushion,$655,0.40,Very Good,G,VS1,Feb 17
381,Cushion,$656,0.41,Very Good,G,VS2,Feb 17
382,Cushion,$656,0.40,Very Good,E,SI1,Feb 17
383,Cushion,$656,0.40,Very Good,E,SI1,Feb 17
384,Cushion,$656,0.38,Very Good,E,VS1,Feb 17
385,Cushion,$657,0.42,Very Good,H,VVS2,Feb 22
386,Cushion,$657,0.50,Very Good,J,VVS1,Feb 17
387,Cushion,$657,0.30,Very Good,D,VVS1,Feb 17
388,Cushion,$657,0.41,Very Good,E,SI2,Feb 17
389,Cushion,$658,0.38,Very Good,E,VVS2,Feb 16
390,Cushion,$659,0.54,Very Good,I,SI2,Feb 16
391,Cushion,$659,0.30,Very Good,F,VVS1,Feb 17
392,Cushion,$660,0.56,Very Good,G,SI2,Feb 16
393,Cushion,$660,0.52,Very Good,I,VVS1,Feb 14
394,Cushion,$660,0.51,Very Good,H,VS2,Feb 14
395,Cushion,$662,0.37,Very Good,H,VVS1,Feb 17
396,Cushion,$662,0.42,Very Good,E,VS2,Feb 17
397,Cushion,$662,0.32,Very Good,D,VVS1,Feb 17
398,Cushion,$662,0.42,Very Good,I,VS1,Feb 17
399,Cushion,$663,0.51,Very Good,I,VS2,Feb 14
400,Cushion,$664,0.40,Very Good,E,SI1,Feb 17
401,Cushion,$664,0.34,Very Good,D,VVS2,Feb 17
402,Cushion,$664,0.37,Very Good,F,VVS2,Feb 17
403,Cushion,$664,0.51,Very Good,H,VS2,Feb 22
404,Cushion,$665,0.50,Very Good,I,VS2,Feb 22
405,Cushion,$666,0.42,Very Good,H,VVS2,Feb 17
406,Cushion,$666,0.38,Very Good,G,VS1,Feb 17
407,Cushion,$667,0.36,Very Good,G,VS1,Feb 17
408,Cushion,$668,0.42,Very Good,E,SI2,Feb 17
409,Cushion,$668,0.41,Very Good,H,VVS2,Feb 17
410,Cushion,$668,0.52,Very Good,I,VS2,Feb 14
411,Cushion,$668,0.50,Very Good,H,VS2,Feb 14
412,Cushion,$669,0.60,Very Good,I,SI2,Feb 16
413,Cushion,$669,0.39,Very Good,G,VS1,Feb 17
414,Cushion,$669,0.50,Very Good,I,SI1,Feb 16
415,Cushion,$669,0.41,Very Good,I,VVS1,Feb 16
416,Cushion,$669,0.35,Very Good,I,VVS2,Feb 17
417,Cushion,$672,0.33,Very Good,D,VVS1,Feb 16
418,Cushion,$672,0.40,Very Good,G,SI1,Feb 17
419,Cushion,$673,0.42,Very Good,E,SI1,Feb 22
420,Cushion,$674,0.51,Very Good,H,SI1,Feb 21
