,url,,,,,,
0,https://www.bluenile.com/diamond-search?pst=shape%3DRD&pt=setform,,,,,,
1,https://www.bluenile.com/diamond-search?pst=shape%3DPR&pt=setform,,,,,,
2,https://www.bluenile.com/diamond-search?pst=shape%3DCU&pt=setform,,,,,,
3,https://www.bluenile.com/diamond-search?pst=shape%3DOV&pt=setform,,,,,,
4,https://www.bluenile.com/diamond-search?pst=shape%3DEC&pt=setform,,,,,,
5,https://www.bluenile.com/diamond-search?pst=shape%3DPS&pt=setform,,,,,,
6,https://www.bluenile.com/diamond-search?pst=shape%3DAS&pt=setform,,,,,,
7,https://www.bluenile.com/diamond-search?pst=shape%3DHS&pt=setform,,,,,,
8,https://www.bluenile.com/diamond-search?pst=shape%3DRA&pt=setform,,,,,,
9,https://www.bluenile.com/diamond-search?pst=shape%3DMQ&pt=setform,,,,,,